0,instanceID,starttime,13329570550.576599
0,instanceID,starttime,13329789144.268974
0,instanceID,starttime,13329789144.306629
0,instanceID,starttime,13329789144.319857
0,instanceID,starttime,13329789144.329111
0,instanceID,starttime,13329789144.344055
0,instanceID,starttime,13329789144.354944
0,instanceID,starttime,13329789144.366907
0,instanceID,starttime,13329789144.376745
0,instanceID,starttime,13329789144.383263
0,instanceID,starttime,13329789144.390162
0,instanceID,starttime,13329806864.227428
0,instanceID,starttime,13329806864.278584
0,instanceID,starttime,13329806864.291956
0,instanceID,starttime,13329806864.299299
0,instanceID,starttime,13329806864.309645
0,instanceID,starttime,13329806864.320181
0,instanceID,starttime,13329806864.331305
0,instanceID,starttime,13329806864.339939
0,instanceID,starttime,13329806864.346550
0,instanceID,starttime,13329806864.353252
0,instanceID,starttime,13329978683.941919
0,instanceID,starttime,13329978683.989155
0,instanceID,starttime,13329978684.017887
0,instanceID,starttime,13329978684.030216
0,instanceID,starttime,13329978684.044573
0,instanceID,starttime,13329978684.059069
0,instanceID,starttime,13329978684.075432
0,instanceID,starttime,13329978684.089005
0,instanceID,starttime,13329978684.097998
0,instanceID,starttime,13329978684.107248
0,instanceID,starttime,13330287166.926479
0,instanceID,starttime,13330287166.996346
0,instanceID,starttime,13330287167.020964
0,instanceID,starttime,13330287167.042389
0,instanceID,starttime,13330287167.057816
0,instanceID,starttime,13330287167.073498
0,instanceID,starttime,13330287167.089169
0,instanceID,starttime,13330287167.100231
0,instanceID,starttime,13330287167.110111
0,instanceID,starttime,13330287167.116863
0,instanceID,starttime,13330468287.097469
0,instanceID,starttime,13330468287.136160
0,instanceID,starttime,13330468287.149933
0,instanceID,starttime,13330468287.157621
0,instanceID,starttime,13330468287.169973
0,instanceID,starttime,13330468287.185736
0,instanceID,starttime,13330468287.202677
0,instanceID,starttime,13330468287.215033
0,instanceID,starttime,13330468287.221708
0,instanceID,starttime,13330468287.228436
0,instanceID,starttime,13330624680.521873
0,instanceID,starttime,13330624680.575176
0,instanceID,starttime,13330624680.594273
0,instanceID,starttime,13330624680.605057
0,instanceID,starttime,13330624680.619564
0,instanceID,starttime,13330624680.634310
0,instanceID,starttime,13330624680.650679
0,instanceID,starttime,13330624680.662792
0,instanceID,starttime,13330624680.671778
0,instanceID,starttime,13330624680.681080
0,instanceID,starttime,13330817647.143799
0,instanceID,starttime,13330817647.189800
0,instanceID,starttime,13330817647.202856
0,instanceID,starttime,13330817647.210552
0,instanceID,starttime,13330817647.221052
0,instanceID,starttime,13330817647.231497
0,instanceID,starttime,13330817647.246393
0,instanceID,starttime,13330817647.276920
0,instanceID,starttime,13330817647.287294
0,instanceID,starttime,13330817647.296345
0,instanceID,starttime,13339346362.062244
0,instanceID,starttime,13339346362.120457
0,instanceID,starttime,13339346362.140001
0,instanceID,starttime,13339346362.151133
0,instanceID,starttime,13339346362.165615
0,instanceID,starttime,13339346362.180471
0,instanceID,starttime,13339346362.197439
0,instanceID,starttime,13339346362.212151
0,instanceID,starttime,13339346362.231138
0,instanceID,starttime,13339346362.243214
0,instanceID,starttime,13341362703.982891
0,instanceID,starttime,13341362704.041599
0,instanceID,starttime,13341362704.055782
0,instanceID,starttime,13341362704.063343
0,instanceID,starttime,13341362704.077732
0,instanceID,starttime,13341362704.090263
0,instanceID,starttime,13341362704.102001
0,instanceID,starttime,13341362704.110809
0,instanceID,starttime,13341362704.117504
0,instanceID,starttime,13341362704.124359
0,instanceID,starttime,13341377030.001148
0,instanceID,starttime,13341377030.069429
0,instanceID,starttime,13341377030.097452
0,instanceID,starttime,13341377030.107927
0,instanceID,starttime,13341377030.125364
0,instanceID,starttime,13341377030.142372
0,instanceID,starttime,13341377030.159155
0,instanceID,starttime,13341377030.173025
0,instanceID,starttime,13341377030.182787
0,instanceID,starttime,13341377030.191772
0,instanceID,starttime,13342873281.316570
0,instanceID,starttime,13342873281.362585
0,instanceID,starttime,13342873281.375196
0,instanceID,starttime,13342873281.382641
0,instanceID,starttime,13342873281.403812
0,instanceID,starttime,13342873281.414030
0,instanceID,starttime,13342873281.426046
0,instanceID,starttime,13342873281.436060
0,instanceID,starttime,13342873281.442863
0,instanceID,starttime,13342873281.449953
0,instanceID,starttime,13343416587.083277
0,instanceID,starttime,13343416587.140997
